date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,relative_humidity_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,8.6,0.4,4.6,6.2,-3.3,0.0,0.0,0.0,0.0,81,10.3,16.9,3.61
2022-01-02,11.4,0.1,4.8,7.8,-3.3,0.0,0.0,0.0,0.0,76,9.7,23.8,12.49
2022-01-03,13.7,-1.1,5.4,12.0,-4.2,0.0,0.0,0.0,0.0,81,10.3,15.8,12.36
2022-01-04,12.3,1.3,7.5,8.8,-1.8,0.0,0.0,0.0,0.0,82,19.1,36.4,8.33
2022-01-05,12.9,6.4,9.8,11.9,3.0,6.5,6.5,0.0,8.0,85,19.1,36.7,3.38
2022-01-06,9.8,4.4,7.2,6.0,0.6,0.0,0.0,0.0,0.0,69,18.4,38.5,6.66
2022-01-07,10.2,1.2,6.1,7.5,-2.2,0.0,0.0,0.0,0.0,69,11.0,23.8,7.51
2022-01-08,10.2,2.0,6.6,7.3,-1.1,0.0,0.0,0.0,0.0,70,8.7,20.2,7.6
2022-01-09,6.6,4.1,5.4,4.4,1.3,5.0,5.0,0.0,14.0,83,7.9,16.6,3.51
2022-01-10,8.6,2.6,5.9,6.0,-0.2,1.2,1.2,0.0,5.0,80,15.7,29.2,3.44
2022-01-11,7.3,-0.8,3.9,1.9,-4.9,0.1,0.1,0.0,1.0,64,18.3,38.5,13.23
2022-01-12,7.6,-3.8,1.7,3.8,-8.1,0.0,0.0,0.0,0.0,71,9.0,23.4,13.26
2022-01-13,5.8,-1.5,2.4,0.5,-5.1,0.0,0.0,0.0,0.0,69,20.8,42.8,9.63
2022-01-14,6.6,-4.1,1.8,2.6,-8.1,0.8,0.8,0.0,6.0,75,10.0,24.5,10.16
2022-01-15,11.7,-1.2,5.0,8.6,-4.7,0.0,0.0,0.0,0.0,80,11.1,25.2,12.24
2022-01-16,13.0,3.7,7.6,9.9,0.9,0.0,0.0,0.0,0.0,70,14.1,26.6,12.01
2022-01-17,12.1,5.3,7.8,9.7,2.7,0.0,0.0,0.0,0.0,76,8.5,20.2,7.2
2022-01-18,11.6,3.5,6.9,8.9,0.6,0.0,0.0,0.0,0.0,77,12.6,24.1,12.73
2022-01-19,14.6,2.2,7.3,11.8,-0.7,0.0,0.0,0.0,0.0,82,14.4,30.6,12.68
2022-01-20,10.5,3.0,6.1,7.1,-1.3,0.0,0.0,0.0,0.0,73,15.0,31.3,8.17
